SECNAME,STARTDATE,ORGNAME,F029N,F008N,SECCODE,F049N,ENDDATE,F016N,F025N,F014N,F026N,F003N,F089N,F023N,F056N,F101N,F043N,F044N,F022N,F041N,F052N,F042N
深康佳Ａ,2018-01-01,康佳集团股份有限公司,2.265,3.3658,000016,55.355,2018-12-31,1.455,1.632,5.075,23.078,0.170805,46126797341.33,8.494,40.012,668618421.57,0.721,19.175,11.676,71.347,47.711,0.963
深康佳Ａ,2019-01-01,康佳集团股份有限公司,2.332,3.3508,000016,70.836,2019-12-31,0.561,1.459,2.628,22.174,0.088056,55119125478.72,9.65,29.11,334936115.34,0.908,29.8,12.422,76.691,19.495,1.148
深华发Ａ,2018-01-01,深圳中恒华发股份有限公司,1.906,1.1441,000020,77.073,2018-12-31,0.529,1.022,1.017,3.495,0.011637,637046707.03,9.188,-2.012,3295022.72,0.878,11.639,4.797,47.501,-25.756,1.093
深华发Ａ,2019-01-01,深圳中恒华发股份有限公司,2.266,1.1634,000020,87.514,2019-12-31,0.887,1.172,1.657,3.736,0.019282,721557440.51,9.766,-0.474,5460049.15,1.193,18.198,5.647,46.362,13.266,1.513
深科技,2018-01-01,深圳长城开发科技股份有限公司,1.508,4.5329,000021,83.742,2018-12-31,3.525,0.985,8.615,6.417,0.390508,16061005965.27,7.963,-3.631,609837695.44,0.876,64.406,10.141,57.68,13.028,1.119
深科技,2019-01-01,深圳长城开发科技股份有限公司,1.197,4.7053,000021,63.687,2019-12-31,2.045,0.768,5.089,5.003,0.239456,13223818815.08,5.366,15.356,441858514.36,0.875,43.134,7.836,61.513,-17.665,1.078
深纺织Ａ,2018-01-01,深圳市纺织(集团)股份有限公司,0.434,4.642,000045,165.009,2018-12-31,-0.521,0.289,-0.968,1.548,-0.044948,1272356771.34,3.193,10.093,-62302707.38,2.5,111.748,3.53,25.107,-13.77,2.931
深纺织Ａ,2019-01-01,深圳市纺织(集团)股份有限公司,0.827,5.3555,000045,341.4,2019-12-31,0.43,0.472,0.722,2.282,0.038638,2158184855.71,4.747,-1.901,-18526678.63,3.779,84.346,4.829,14.935,69.621,4.586
深天马Ａ,2018-01-01,天马微电子股份有限公司,1.927,12.6969,000050,53.143,2018-12-31,1.613,0.504,3.559,1.052,0.451898,28911543960.79,8.587,9.654,983879402.42,0.602,19.431,5.218,56.685,21.354,0.766
深天马Ａ,2019-01-01,天马微电子股份有限公司,2.093,13.0399,000050,44.951,2019-12-31,1.322,0.483,3.105,1.053,0.404939,30281970068.28,7.792,9.018,829364995.37,0.542,15.774,5.132,59.195,4.74,0.705
中兴通讯,2018-01-01,中兴通讯股份有限公司,0.851,5.4613,000063,56.022,2018-12-31,-5.11,0.626,-30.5,9.722,-1.665683,8.551315E+10,2.239,-10.15,-6.94934E+9,0.77,27.566,3.723,74.518,-21.414,1.054
中兴通讯,2019-01-01,中兴通讯股份有限公司,0.929,6.8188,000063,63.299,2019-12-31,3.805,0.671,17.858,9.927,1.217703,9.0736582E+10,2.164,9.162,5.776669E+9,0.867,38.566,4.387,73.121,6.108,1.188
中国长城,2018-01-01,中国长城科技集团股份有限公司,1.15,2.3784,000066,100.163,2018-12-31,6.987,0.624,16.049,5.286,0.381702,10009483496.74,4.312,11.033,1204916696.15,1.046,47.356,3.896,56.049,5.287,1.323
中国长城,2019-01-01,中国长城科技集团股份有限公司,0.922,2.8331,000066,93.836,2019-12-31,5.785,0.563,13.441,4.606,0.38078,10843784576.71,2.904,28.391,1165863878.41,1.08,41.4,3.627,60.081,8.335,1.459
TCL 科技,2018-01-01,TCL科技集团股份有限公司,1.413,2.2506,000100,65.43,2018-12-31,1.965,0.642,11.373,3.306,0.255963,113360075545,5.641,20.257,4065194164,0.766,33.997,7.97,68.422,1.598,1.019
TCL 科技,2019-01-01,TCL科技集团股份有限公司,1.167,2.2258,000100,83.707,2019-12-31,1.464,0.419,8.693,1.84,0.193501,74933085688,5.189,-14.484,3.65773532E+9,0.987,43.31,6.815,61.247,-33.898,1.118
东旭光电,2018-01-01,东旭光电科技股份有限公司,0.613,5.6753,000413,131.579,2018-12-31,3.065,0.4,6.653,2.685,0.377576,28211700021.12,5.511,5.779,2268828086.18,1.542,72.828,2.539,53.947,63.291,1.671
东旭光电,2019-01-01,东旭光电科技股份有限公司,0.408,5.3446,000413,90.419,2019-12-31,-2.171,0.25,-4.974,1.831,-0.265862,17528752785.8,4.074,-6.635,-1558120438.9,1.233,38.911,1.35,53.49,-37.867,1.358
*ST华映,2018-01-01,华映科技(集团)股份有限公司,0.57,2.6995,000536,61.479,2018-12-31,-24.765,0.225,-66.511,0.537,-1.795487,4517789137.71,6.649,-9.176,-4986059117.7,0.623,56.193,3.491,60.506,-7.594,0.697
*ST华映,2019-01-01,华映科技(集团)股份有限公司,0.285,1.7632,000536,42.08,2019-12-31,-15.348,0.087,-53.047,0.159,-0.935324,1474124196.43,3.716,-23.396,-2592684141.15,0.424,38.423,4.35,66.193,-67.371,0.488
航天发展,2018-01-01,航天工业发展股份有限公司,0.752,21.1228,000547,188.601,2018-12-31,5.227,0.41,6.527,5.64,1.378589,3515797455.68,3.868,19.237,507682846.23,2.047,93.255,2.816,22.516,41.146,2.383
航天发展,2019-01-01,航天工业发展股份有限公司,0.762,4.8712,000547,176.656,2019-12-31,6.69,0.4,8.633,6.105,1.847069,4039258215.89,3.522,16.438,722551092.95,1.895,64.458,2.513,24.599,14.889,2.187
烽火电子,2018-01-01,陕西烽火电子股份有限公司,0.549,2.2716,000561,131.798,2018-12-31,3.044,0.431,6.297,4.097,0.143038,1223775807.83,1.138,4.768,99187489.02,1.344,41.883,1.823,48.348,0.58,1.864
烽火电子,2019-01-01,陕西烽火电子股份有限公司,0.557,2.4636,000561,143.158,2019-12-31,2.964,0.438,6.104,5.122,0.150383,1344782769.12,1.402,10.988,97206933.61,1.46,55.073,1.837,49.698,9.888,1.878
汇源通信,2018-01-01,四川汇源光通信股份有限公司,0.872,1.2136,000586,126.558,2018-12-31,-0.499,0.736,-1.234,10.392,-0.014976,426707264.12,3.543,6.904,-1867767.31,1.299,35.422,1.842,56.436,9.318,1.6
汇源通信,2019-01-01,四川汇源光通信股份有限公司,0.83,1.2643,000586,121.579,2019-12-31,1.369,0.709,3.427,9.539,0.043326,434269804.11,3.182,4.305,5863436.66,1.272,31.503,1.611,57.067,1.772,1.601
风华高科,2018-01-01,广东风华高新科技股份有限公司,1.497,6.0693,000636,186.18,2018-12-31,15.213,0.685,18.721,2.144,1.136209,4580200601.43,5.361,11.289,1028820935.58,2.188,90.867,5.112,21.514,36.511,2.565
风华高科,2019-01-01,广东风华高新科技股份有限公司,0.973,6.2264,000636,222.394,2019-12-31,4.825,0.469,6.079,1.531,0.378504,3293174130.4,5.22,-0.594,348226410.99,2.554,134.303,4.273,19.463,-28.1,2.958
*ST盈方,2018-01-01,盈方微电子股份有限公司,0.996,0.242,000670,99.533,2018-12-31,-48.008,0.29,-86.043,0.786,-0.586084,102577272.05,10.407,-44.444,-171948275.05,1.087,56.935,4.469,22.01,-57.45,1.219
*ST盈方,2019-01-01,盈方微电子股份有限公司,0.091,-0.0291,000670,22.549,2019-12-31,-132.497,0.027,null,0.065,-0.710515,4129630.93,0.844,-77.008,-207369604.57,0.241,10.939,0.346,154.536,-95.974,0.275
*ST华讯,2018-01-01,华讯方舟股份有限公司,0.556,1.292,000687,64.585,2018-12-31,-11.61,0.358,-49.783,6.29,-0.64322,1518129359.48,3.769,-2.431,-502531644.39,0.775,22.184,1.35,74.744,-13.744,0.888
*ST华讯,2019-01-01,华讯方舟股份有限公司,0.122,-0.6276,000687,46.724,2019-12-31,-51.22,0.084,null,1.208,-1.985162,250284379.23,0.869,-58.345,-1535443593.91,0.566,3.404,0.261,125.914,-83.514,0.614
京东方Ａ,2018-01-01,京东方科技集团股份有限公司,0.974,2.4673,000725,119.678,2018-12-31,1.227,0.347,4.001,0.896,0.098715,97108864935,7.382,18.711,2879874073,1.409,82.73,5.487,60.412,3.527,1.602
京东方Ａ,2019-01-01,京东方科技集团股份有限公司,1.137,2.5014,000725,104.563,2019-12-31,0.595,0.36,2.018,0.914,0.055136,116059590164,8.075,11.967,-476241403,1.174,72.689,6.106,58.563,19.515,1.333
华东科技,2018-01-01,南京华东电子信息科技股份有限公司,0.947,2.1625,000727,53.556,2018-12-31,-2.993,0.173,-10.08,0.24,-0.217981,5702781523.33,3.122,-4.686,-1629829893.81,0.557,30.807,7.029,48.023,-4.874,0.833
华东科技,2019-01-01,南京华东电子信息科技股份有限公司,1.15,0.9156,000727,18.98,2019-12-31,-21.022,0.196,-136.011,0.275,-1.245271,5266542219.91,4.04,-33.312,-9679827288.29,0.205,10.125,6.815,67.179,-7.65,0.368
振华科技,2018-01-01,中国振华(集团)科技股份有限公司,0.776,9.7005,000733,140.859,2018-12-31,3.163,0.552,6.123,3.71,0.593979,5337571527.22,2.901,14.921,303938423.76,1.568,34.283,3.703,50.299,-33.429,1.937
振华科技,2019-01-01,中国振华(集团)科技股份有限公司,0.544,10.4472,000733,213.394,2019-12-31,3.115,0.384,5.534,2.734,0.578108,3668281841.8,1.725,-15.209,295310791.02,2.567,67.704,2.542,38.604,-31.274,3.046
四川九洲,2018-01-01,四川九洲电器股份有限公司,0.829,2.3525,000801,136.578,2018-12-31,1.706,0.729,3.69,10.575,0.0868,3794967512.09,4.029,8.344,90591296.06,1.451,30.199,1.513,55.08,19.898,1.732
四川九洲,2019-01-01,四川九洲电器股份有限公司,0.619,2.3603,000801,128.772,2019-12-31,0.499,0.55,1.125,8.885,0.026557,2988962220.06,2.862,0.968,25260200.6,1.393,28.23,1.204,55.406,-21.239,1.694
创维数字,2018-01-01,创维数字股份有限公司,1.199,2.9563,000810,110.343,2018-12-31,4.088,1.004,10.445,11.364,0.30878,8148183257.58,4.922,14.179,322841068.75,1.13,20.238,2.15,61.421,12.34,1.404
创维数字,2019-01-01,创维数字股份有限公司,1.099,3.4234,000810,135.565,2019-12-31,6.586,0.927,16.795,11.684,0.597195,8895624062.35,5.183,21.848,616368903.14,1.392,38.072,2.017,62.926,9.173,1.622
超声电子,2018-01-01,广东汕头超声电子股份有限公司,1.547,6.171,000823,157.741,2018-12-31,5.127,0.939,8.144,3.1,0.502534,4941244562.13,5.993,6.619,330128534.65,1.65,59.473,3.523,31.548,14.034,2.053
超声电子,2019-01-01,广东汕头超声电子股份有限公司,1.445,6.5843,000823,152.58,2019-12-31,5.441,0.869,8.573,2.849,0.56445,4841691224.99,5.395,5.111,361618494.16,1.634,59.129,3.261,30.627,-2.015,2.096
紫光股份,2018-01-01,紫光股份有限公司,2.049,18.2111,000938,86.285,2018-12-31,3.739,1.06,6.418,95.209,1.168799,48338071477.87,6.989,14.007,2936746562,1.278,36.394,7.644,37.208,23.715,1.641
紫光股份,2019-01-01,紫光股份有限公司,1.867,13.7953,000938,92.693,2019-12-31,3.568,1.047,6.541,91.914,0.902339,54099057664.94,6.224,12.63,3074634216.74,1.133,47.158,6.952,40.885,11.918,1.512
中科三环,2018-01-01,北京中科三环高技术股份有限公司,0.923,4.1812,000970,229.315,2018-12-31,4.0,0.671,5.575,4.146,0.23309,4164541446.07,2.254,2.766,297819010.15,3.113,102.322,3.642,16.713,6.913,4.575
中科三环,2019-01-01,北京中科三环高技术股份有限公司,0.878,4.2946,000970,299.82,2019-12-31,3.151,0.632,4.394,3.689,0.188702,4034511560.53,2.268,2.774,245146579.34,3.139,178.62,3.458,16.744,-3.122,4.532
浪潮信息,2018-01-01,浪潮电子信息产业股份有限公司,2.387,6.9616,000977,68.243,2018-12-31,3.029,2.159,7.338,94.275,0.510837,46940820299.58,6.326,43.161,651347086.31,0.969,35.194,10.546,63.633,84.167,1.491
浪潮信息,2019-01-01,浪潮电子信息产业股份有限公司,2.05,6.9422,000977,91.506,2019-12-31,3.377,1.878,9.337,71.756,0.720377,51653280173.6,5.418,14.883,955389613.89,0.999,36.431,6.881,64.949,10.039,1.465
华工科技,2018-01-01,华工科技产业股份有限公司,0.809,5.6549,000988,170.073,2018-12-31,3.269,0.603,4.988,4.421,0.282057,5232838883.71,3.382,2.254,270368750.11,1.828,72.819,2.635,33.857,16.79,2.292
华工科技,2019-01-01,华工科技产业股份有限公司,0.804,6.1063,000988,174.433,2019-12-31,5.47,0.594,8.189,4.178,0.500036,5460245491.93,3.204,9.578,495482661.91,1.894,83.166,2.6,34.973,4.346,2.294
东信和平,2018-01-01,东信和平科技股份有限公司,0.947,2.8087,002017,132.775,2018-12-31,2.45,0.72,4.031,5.521,0.113208,1152713285.67,2.102,6.256,38850020.98,1.385,106.992,9.004,40.759,-3.118,2.129
东信和平,2019-01-01,东信和平科技股份有限公司,0.779,3.1247,002017,203.613,2019-12-31,2.109,0.629,2.832,5.88,0.088499,1178720034.45,2.067,27.247,39639954.28,2.105,180.844,9.808,33.293,2.256,2.777
航天电器,2018-01-01,贵州航天电器股份有限公司,0.749,6.2728,002025,246.472,2018-12-31,7.877,0.622,13.339,5.428,0.836714,2834084194.08,5.135,7.506,403904643.01,2.517,56.381,2.113,32.524,8.497,2.778
航天电器,2019-01-01,贵州航天电器股份有限公司,0.81,7.0671,002025,222.524,2019-12-31,7.798,0.685,13.267,6.157,0.937608,3533710584.98,5.311,18.474,458626732.52,2.384,52.252,2.372,34.262,24.686,2.66
联创电子,2018-01-01,联创电子科技股份有限公司,1.505,3.7483,002036,78.163,2018-12-31,4.181,0.817,11.9,2.829,0.446063,4802264162.21,4.668,39.679,241662542.16,0.858,26.335,4.016,66.605,-4.988,1.184
联创电子,2019-01-01,联创电子科技股份有限公司,1.329,3.2248,002036,65.546,2019-12-31,3.373,0.767,11.59,2.814,0.373736,6081932971.96,3.658,31.413,252012306.49,0.739,23.56,3.761,71.494,26.647,1.104
国光电器,2018-01-01,国光电器股份有限公司,1.81,3.5358,002045,69.682,2018-12-31,-4.884,0.901,-13.227,5.875,-0.467688,4041902113,6.259,15.391,-220600717,0.817,18.274,3.577,64.34,-0.171,1.054
国光电器,2019-01-01,国光电器股份有限公司,1.769,4.1174,002045,109.5,2019-12-31,7.809,0.983,18.31,6.58,0.753887,4445544317,6.982,-11.82,349678909,1.136,29.801,3.977,54.451,9.986,1.414
紫光国微,2018-01-01,紫光国芯微电子股份有限公司,0.8,6.2529,002049,248.632,2018-12-31,6.366,0.45,9.171,10.354,0.57344,2458423475.06,2.472,9.967,348553049.74,2.545,109.962,2.579,33.62,34.406,3.313
紫光国微,2019-01-01,紫光国芯微电子股份有限公司,0.879,6.9019,002049,213.173,2019-12-31,6.486,0.548,9.688,18.348,0.668671,3430409964.8,2.668,18.52,400546989.29,2.188,72.871,2.855,38.219,39.537,2.722
*ST同洲,2018-01-01,深圳市同洲电子股份有限公司,0.636,0.801,002052,111.054,2018-12-31,-19.858,0.479,-55.382,3.346,-0.443624,798133417.18,5.038,-16.366,-330925753.64,1.148,58.194,1.961,60.636,18.617,1.238
*ST同洲,2019-01-01,深圳市同洲电子股份有限公司,0.893,0.5371,002052,92.144,2019-12-31,-15.891,0.628,-49.267,3.598,-0.264594,779521152.16,9.126,-36.353,-197376739.17,1.021,18.46,2.098,58.533,-2.332,1.122
得润电子,2018-01-01,深圳市得润电子股份有限公司,1.105,5.6214,002055,75.654,2018-12-31,2.643,0.755,9.68,6.598,0.544148,7454105562.46,3.686,6.004,245973279.73,0.811,10.978,3.993,69.634,27.398,1.109
得润电子,2019-01-01,深圳市得润电子股份有限公司,1.122,3.9721,002055,58.417,2019-12-31,-5.743,0.734,-30.728,6.177,-1.22053,7486212149.89,3.597,0.61,-619814251.82,0.82,12.457,3.564,75.527,0.431,1.108
苏州固锝,2018-01-01,苏州固锝电子股份有限公司,1.39,2.2166,002079,332.17,2018-12-31,4.686,0.934,5.859,3.844,0.129882,1885325487.13,7.585,3.703,132211193.69,4.246,144.604,5.379,14.923,1.657,4.914
苏州固锝,2019-01-01,苏州固锝电子股份有限公司,1.335,2.3663,002079,397.415,2019-12-31,4.488,0.922,5.599,4.239,0.132497,1980553309.06,8.47,9.221,137563404.66,4.235,112.901,4.849,15.742,5.051,4.841
ST新海,2018-01-01,新海宜科技集团股份有限公司,0.37,0.8605,002089,68.428,2018-12-31,-10.932,0.164,-43.192,0.96,-0.371659,766336584.63,5.442,2.631,-521630380.05,0.988,21.263,1.918,71.803,-52.245,1.027
ST新海,2019-01-01,新海宜科技集团股份有限公司,0.148,0.9579,002089,92.481,2019-12-31,1.736,0.073,4.802,0.381,0.046001,265043822.18,4.279,-46.109,56204893.02,0.954,28.86,1.241,46.472,-65.414,0.97
恒宝股份,2018-01-01,恒宝股份有限公司,1.112,2.66,002104,349.591,2018-12-31,6.558,0.762,7.682,6.735,0.204336,1690305333.68,7.484,2.924,147632268.11,5.686,309.897,11.035,11.899,23.527,6.471
恒宝股份,2019-01-01,恒宝股份有限公司,0.918,2.7669,002104,319.572,2019-12-31,3.772,0.668,4.5,8.257,0.124504,1535467255.35,5.877,4.408,87033117.24,4.809,158.868,14.484,14.148,-9.16,5.446
莱宝高科,2018-01-01,深圳莱宝高科技股份有限公司,1.404,5.4433,002106,334.353,2018-12-31,4.727,0.928,5.855,3.546,0.318705,4416084125.93,8.147,3.707,227518458.85,3.371,181.216,3.846,20.667,10.697,4.049
莱宝高科,2019-01-01,深圳莱宝高科技股份有限公司,1.346,5.7441,002106,298.303,2019-12-31,5.542,0.944,6.952,4.087,0.399333,4802171361.91,7.469,9.931,283102913.8,3.028,174.94,3.732,23.824,8.743,3.518
三维通信,2018-01-01,三维通信股份有限公司,1.757,4.2823,002115,70.234,2018-12-31,4.817,0.797,9.058,5.249,0.387865,3553614079.77,8.122,5.594,228494054.61,1.008,30.358,6.181,46.23,200.788,1.198
三维通信,2019-01-01,三维通信股份有限公司,2.609,3.4831,002115,112.427,2019-12-31,3.443,1.207,6.33,9.554,0.220464,5558891021.37,17.237,1.16,172524612.01,1.246,55.134,8.294,43.835,56.429,1.41
康强电子,2018-01-01,宁波康强电子股份有限公司,1.642,2.7965,002119,71.153,2018-12-31,4.794,0.886,9.939,2.597,0.277943,1482897034.3,3.95,0.766,92354978.63,0.736,20.583,4.383,51.805,13.752,1.1
康强电子,2019-01-01,宁波康强电子股份有限公司,1.499,2.3786,002119,65.976,2019-12-31,5.303,0.812,10.372,2.611,0.246701,1418269645.18,3.716,7.819,92468553.68,0.864,19.569,4.137,50.722,-4.358,1.247
沃尔核材,2018-01-01,深圳市沃尔核材股份有限公司,1.485,2.0473,002130,66.749,2018-12-31,0.324,0.557,0.794,1.973,0.016257,3525024216.47,5.142,3.164,34024331.45,0.711,16.068,3.135,56.39,36.646,0.868
沃尔核材,2019-01-01,深圳市沃尔核材股份有限公司,1.448,2.2785,002130,84.627,2019-12-31,3.257,0.618,7.306,1.956,0.166476,3978083207.29,5.482,0.213,225540560.66,0.969,22.998,2.922,51.719,12.853,1.153
天津普林,2018-01-01,天津普林电路股份有限公司,1.297,1.5396,002134,115.295,2018-12-31,-9.717,0.643,-15.655,1.866,-0.24103,392363890.71,4.67,-7.696,-59259233.85,1.177,52.699,3.544,35.371,-9.08,1.537
天津普林,2019-01-01,天津普林电路股份有限公司,1.371,1.5935,002134,126.511,2019-12-31,2.171,0.717,3.235,2.3,0.051542,418242590.19,5.346,-0.643,12671292.25,1.409,48.813,3.434,32.676,6.596,1.756
实益达,2018-01-01,深圳市麦达数字股份有限公司,0.957,2.3477,002137,128.563,2018-12-31,-19.164,0.541,-26.97,11.246,-0.633187,1035533828.46,13.796,-20.547,-364528537.35,3.329,35.344,4.131,17.261,10.638,3.56
实益达,2019-01-01,深圳市麦达数字股份有限公司,0.767,2.4719,002137,277.821,2019-12-31,4.949,0.434,6.098,11.148,0.15074,763029246.12,8.671,7.645,94632993.92,2.897,38.475,3.387,18.947,-26.315,3.136
顺络电子,2018-01-01,深圳顺络电子股份有限公司,1.27,5.2932,002138,198.581,2018-12-31,9.566,0.472,11.134,1.004,0.589363,2362042839.62,3.681,9.836,482969956.99,2.052,63.902,3.099,16.797,18.841,2.671
顺络电子,2019-01-01,深圳顺络电子股份有限公司,1.258,5.4789,002138,99.226,2019-12-31,6.961,0.467,9.093,1.018,0.498178,2693227392.47,3.534,20.374,405755635.2,1.195,31.309,3.036,28.476,14.021,1.565
北斗星通,2018-01-01,北京北斗星通导航技术股份有限公司,0.895,7.8637,002151,169.338,2018-12-31,1.612,0.461,2.644,4.996,0.207918,3051035392.65,3.882,-2.034,131459253.8,1.758,92.201,2.932,35.099,38.415,2.103
北斗星通,2019-01-01,北京北斗星通导航技术股份有限公司,0.891,6.6107,002151,119.714,2019-12-31,-10.262,0.471,-20.108,4.938,-1.329258,2987002576.45,3.179,-6.211,-759386038.82,1.256,52.117,2.913,41.453,-2.099,1.668
通富微电,2018-01-01,通富微电子股份有限公司,1.565,5.3171,002156,61.757,2018-12-31,0.972,0.553,2.069,1.178,0.110028,7222862993.75,5.269,15.0,153031426.43,0.684,27.106,4.486,53.448,10.793,0.947
通富微电,2019-01-01,通富微电子股份有限公司,1.523,5.2968,002156,52.965,2019-12-31,0.127,0.549,0.313,1.178,0.016591,8266574620.47,4.427,15.669,37442467.84,0.575,30.674,5.038,59.757,14.45,0.836
远 望 谷,2018-01-01,深圳市远望谷信息技术股份有限公司,0.484,1.8982,002161,81.212,2018-12-31,-8.067,0.197,-12.75,2.653,-0.242013,437891734.33,0.852,-5.272,-195470117.84,0.852,32.3,2.043,34.65,-17.496,1.308
远 望 谷,2019-01-01,深圳市远望谷信息技术股份有限公司,0.458,2.7218,002161,387.972,2019-12-31,31.012,0.262,36.913,4.03,1.004696,628849638.04,1.486,21.991,737117394.2,3.95,72.071,3.034,24.128,43.608,4.389
中航光电,2018-01-01,中航光电科技股份有限公司,0.838,7.6408,002179,156.96,2018-12-31,8.127,0.668,15.746,5.593,1.203075,7816018656.41,3.191,33.467,1006999399.04,1.592,48.469,2.371,50.948,22.858,1.945
中航光电,2019-01-01,中航光电科技股份有限公司,0.793,7.6284,002179,167.519,2019-12-31,7.511,0.642,13.12,5.719,1.000864,9158826503.64,3.072,13.034,1162569223.38,1.701,49.08,2.342,42.284,17.18,2.042
纳思达,2018-01-01,纳思达股份有限公司,2.118,4.812,002180,51.271,2018-12-31,2.654,0.612,18.579,7.098,0.894008,21926472338.76,5.654,1.649,1217988232.22,0.646,28.131,9.601,76.284,2.826,0.863
纳思达,2019-01-01,纳思达股份有限公司,2.066,5.4261,002180,47.163,2019-12-31,2.014,0.63,12.9,7.572,0.699986,23295845261.03,5.309,4.723,865949754.27,0.585,28.024,8.682,74.643,6.245,0.781
华天科技,2018-01-01,天水华天科技股份有限公司,1.555,2.6721,002185,96.352,2018-12-31,3.575,0.653,6.846,1.398,0.182921,7121706261.65,4.652,32.843,429237139.37,1.006,70.066,7.525,48.766,1.595,1.262
华天科技,2019-01-01,天水华天科技股份有限公司,1.558,2.8351,002185,85.365,2019-12-31,2.013,0.569,3.692,1.142,0.104669,8103490628.12,6.144,28.951,292914147.04,0.924,52.44,6.948,38.18,13.786,1.188
中光学,2018-01-01,中光学集团股份有限公司,1.592,3.8852,002189,93.669,2018-12-31,6.75,1.075,17.559,7.509,0.682184,2583509097.04,9.858,17.759,166641089.21,0.989,26.213,3.647,63.596,55.341,1.129
中光学,2019-01-01,中光学集团股份有限公司,1.246,5.166,002189,109.146,2019-12-31,3.404,0.885,7.236,7.388,0.373837,2552362826.97,6.049,21.89,99461805.44,1.238,55.282,3.194,56.14,-1.206,1.557
